DEF------->,probeCountTime-4_10,probeCountTime-3_10,weighted mean
purePeriodicMax-0.1,-841.7009999999999,1204.1695666632725,-7.030262499992546
purePeriodicMax-0.7,-736.8000000000004,1026.8959999999777,-17.250354468545368
periodicDecept-20_27,-99.80000000000011,136.72765,-3.301858191043088
purePeriodicMax-0.5,-774.3149999999997,1084.0010000002317,-16.162450419111337
periodicMax-0.5,-774.3149666666669,1088.6122051284376,-14.281159187316632
purePeriodicDecept-11_13,-181.7999999999999,127.10066666666685,-55.77523994813553
purePeriodicDecept-17_1,-117.60000000000012,115.16383333333339,-22.63741360895264
periodicDecept-0.1_27,-841.6979166666666,54.13177777834432,-476.2188663686179
purePeriodicMax-7,-285.6000000000002,261.5136666666685,-62.38951195930554
purePeriodicMax-4,-499.8999999999998,458.52899999999687,-108.88179322452766
purePeriodicDecept-0.1_5,-841.6993333333332,-1299.1672833333073,-1028.336316840971
periodicMax-0.1,-841.6983809523807,1207.7905833321465,-5.551415845254098
periodicMax-0.7,-736.8000000000004,1024.2974233333496,-18.310517285356582
purePeriodicDecept-0.1_1,-841.6959999999999,-1579.3123833332854,-1142.627457102395
periodicMax-17,-117.60000000000012,102.1225690607733,-27.957966065046413
periodic-15,-133.19999999999985,156.71062499999994,-14.922764323015244
periodic-17,-117.60000000000011,147.64511666666664,-9.38575577851757
periodic-11,-181.79999999999993,189.47230000000042,-30.328968790170336
periodicDecept-17_1,-117.60000000000012,114.97876436781611,-22.712917725612677
purePeriodicDecept-5_1,-399.89999999999975,-144.99816666666672,-295.90559063448546
purePeriodic-20,-99.80000000000011,135.27133333333327,-3.8960037474664233
purePeriodicDecept-17_35,-117.60000000000012,148.62666666666672,-8.985304706126726
periodicDecept-20_35,-99.80000000000011,136.36651666666663,-3.449192744157479
purePeriodicDecept-5_35,-399.89066666666645,261.315,-130.1331216739947
periodicDecept-17_27,-117.60000000000012,147.23247500000005,-9.5541046124331
periodicDecept-0.1_1,-841.7003333333331,-1579.6014166667028,-1142.7479418496587
periodicDecept-0.1_13,-841.6996333333337,-774.3889108336193,-814.238321114484
periodic-20,-99.8000000000001,136.49319999999994,-3.3975086967962866
purePeriodicMax-11,-181.7999999999999,165.74200000000036,-40.01041556634679
purePeriodicMax-17,-117.60000000000012,107.01116666666648,-25.96352446373507
purePeriodicMax-15,-133.19999999999987,117.82550000000002,-30.78705040757668
periodicDecept-17_35,-117.60000000000012,147.28979166666684,-9.530720657838238
purePeriodicDecept-5_27,-399.8929999999998,200.97616666666664,-154.7514359856878
purePeriodicDecept-5_5,-399.9029999999998,-141.48266666666672,-294.4731190862127
periodicDecept-20_1,-99.80000000000011,118.03905000000002,-10.926400915797984
periodicDecept-20_5,-99.80000000000011,119.01179999999997,-10.529540052196381
purePeriodicDecept-0.1_13,-841.7003333333333,-772.9929333337769,-813.6692070422553
periodicDecept-17_5,-117.60000000000012,114.26563333333331,-23.003859692413975
